Promotion ID,Description,Start date,End date,oduct,Area,Type,Discount,Channel
23,Winter Sale,"Dec 1, 2019 12:00:00 AM","Dec 1, 2019 12:00:00 AM",66,Canada,Mail-in rebate,0.6347595425,Web
24,Fall Sale,"Jan 1, 2019 12:00:00 AM","Jan 1, 2019 12:00:00 AM",94,ger,Free items,0.4950488546,Phone
25,Spring Event,"Mar 1, 2019 12:00:00 AM","Mar 1, 2019 12:00:00 AM",36,GER,Mail-in rebate,0.1477255392,Email
26,Summer Sale,"Jun 1, 2019 12:00:00 AM","Jun 1, 2019 12:00:00 AM",31,GERMANY,Instant rebate,0.2512474541,TV
27,Summer Price slash,"Aug 1, 2019 12:00:00 AM","Aug 1, 2019 12:00:00 AM",47,Germany,Other,0.2291285803,Radio
28,Summer Sale,"Nov 1, 2019 12:00:00 AM","Nov 1, 2019 12:00:00 AM",88,GER,Instant rebate,0.5603432214,Phone
29,Fall Big sale,"Dec 1, 2019 12:00:00 AM","Dec 1, 2019 12:00:00 AM",9,GER,Instant rebate,0.1288900785,Web
30,Fall Event,"Jan 1, 2019 12:00:00 AM","Jan 1, 2019 12:00:00 AM",33,UK,Mail-in rebate,0.2476827806,Phone
31,Winter Big sale,"Mar 1, 2019 12:00:00 AM","Mar 1, 2019 12:00:00 AM",68,United Kingdom,Mail-in rebate,0.4480190713,Web
32,Winter Push,"Jun 1, 2019 12:00:00 AM","Jun 1, 2019 12:00:00 AM",9,UK,Free items,0.3831131007,Radio
33,Spring Sale,"Aug 1, 2019 12:00:00 AM","Aug 1, 2019 12:00:00 AM",10,UK,Instant rebate,0.158956281,Email
34,Winter Push,"Nov 1, 2019 12:00:00 AM","Nov 1, 2019 12:00:00 AM",61,uk,Other,0.3578611396,TV
35,Summer Push,"Dec 1, 2019 12:00:00 AM","Dec 1, 2019 12:00:00 AM",83,United Kingdom,Instant rebate,0.6251390702,Phone
36,Summer Price slash,"Jan 1, 2019 12:00:00 AM","Jan 1, 2019 12:00:00 AM",93,FR,Free items,0.1501272641,TV
37,Fall Push,"Mar 1, 2019 12:00:00 AM","Mar 1, 2019 12:00:00 AM",75,fr,Instant rebate,0.2805029478,Radio
38,Summer Sale,"Jun 1, 2019 12:00:00 AM","Jun 1, 2019 12:00:00 AM",70,fr,Free items,0.5826794168,Phone
39,Fall Price slash,"Aug 1, 2019 12:00:00 AM","Aug 1, 2019 12:00:00 AM",9,FRANCE,Other,0.5790470046,Store floor
40,Fall Event,"Nov 1, 2019 12:00:00 AM","Nov 1, 2019 12:00:00 AM",8,FRANCE,Instant rebate,0.6980762357,TV
41,Winter Salenado,"Dec 1, 2019 12:00:00 AM","Dec 1, 2019 12:00:00 AM",11,FRANCE,Instant rebate,0.2820318041,Phone
